threshold,sensitivity,specificity
-Inf,1,0
0.055,1,7.611508601004719e-5
0.065,0.9966755319148937,0.0203227279646826
0.07500000000000001,0.9820478723404256,0.23359719896483483
0.08130000000000001,0.9547872340425532,0.44801339625513775
0.08355000000000001,0.9547872340425532,0.44808951134114783
0.08725,0.9547872340425532,0.44816562642715785
0.09015000000000001,0.9208776595744681,0.7237022377835287
0.09515000000000001,0.9208776595744681,0.7237783528695387
0.10500000000000001,0.8882978723404256,0.8498249353021768
0.11499999999999999,0.867686170212766,0.8812604658243264
0.125,0.84375,0.8940478002740143
0.135,0.8297872340425532,0.9002131222408282
0.14500000000000002,0.8118351063829787,0.9063023291216319
0.155,0.8018617021276596,0.9099558532501142
0.165,0.788563829787234,0.9136093773785965
0.175,0.7845744680851063,0.9155883696148577
0.185,0.776595744680851,0.9181001674531892
0.1905,0.7706117021276596,0.9203836200334906
0.1955,0.7706117021276596,0.9204597351195006
0.20500000000000002,0.7579787234042553,0.9224387273557619
0.215,0.7513297872340425,0.9243416045060131
0.225,0.7480053191489362,0.9250266402801035
0.235,0.7440159574468085,0.9260922514842441
0.245,0.738031914893617,0.9270056325163647
0.255,0.7313829787234043,0.927462323032425
0.265,0.7253989361702128,0.9285279342365657
0.275,0.7207446808510638,0.9292890850966662
0.28500000000000003,0.7167553191489362,0.930506926472827
0.295,0.714095744680851,0.930735271730857
0.305,0.7074468085106383,0.9314203075049475
0.315,0.7007978723404256,0.932333688537068
0.325,0.6961436170212766,0.9331709544831785
0.335,0.6928191489361702,0.9337798751712589
0.345,0.6894946808510638,0.9349216014614097
0.355,0.6848404255319149,0.9355305221494901
0.365,0.6821808510638298,0.9360633277515603
0.375,0.6808510638297872,0.9369767087836809
0.385,0.6775265957446809,0.9374333992997412
0.395,0.675531914893617,0.9378139747297914
0.405,0.6735372340425532,0.9382706652458517
0.415,0.6695478723404256,0.938727355761912
0.425,0.6648936170212766,0.9394123915360024
0.435,0.6615691489361702,0.9397929669660526
0.445,0.6602393617021277,0.940325772568123
0.455,0.6575797872340425,0.9406302329121632
0.46499999999999997,0.6529255319148937,0.9410108083422134
0.475,0.6509308510638298,0.9414674988582737
0.485,0.6482712765957447,0.9417719592023139
0.495,0.6462765957446809,0.941924189374334
0.505,0.6422872340425532,0.9422286497183742
0.515,0.6402925531914894,0.9424569949764043
0.525,0.6389627659574468,0.9429136854924646
0.535,0.6329787234042553,0.9429898005784747
0.545,0.6276595744680851,0.9432181458365048
0.555,0.6256648936170213,0.943522606180545
0.565,0.6230053191489362,0.9439792966966053
0.575,0.6196808510638298,0.9442076419546354
0.585,0.617686170212766,0.9451210229867559
0.595,0.6143617021276596,0.9456538285888263
0.605,0.6136968085106383,0.9459582889328665
0.615,0.6097074468085106,0.9462627492769067
0.625,0.6077127659574468,0.9464149794489268
0.635,0.6030585106382979,0.9465672096209469
0.645,0.601063829787234,0.9469477850509971
0.655,0.5990691489361702,0.9471761303090273
0.665,0.5964095744680851,0.9476328208250875
0.675,0.5950797872340425,0.9480133962551378
0.685,0.5930851063829787,0.9482417415131679
0.695,0.5877659574468085,0.948317856599178
0.705,0.5857712765957447,0.948470086771198
0.715,0.5837765957446809,0.9486223169432182
0.725,0.581781914893617,0.9492312376312986
0.735,0.5784574468085106,0.9494595828893286
0.745,0.5777925531914894,0.9496879281473588
0.7535000000000001,0.5751329787234043,0.949916273405389
0.7585,0.5751329787234043,0.949992388491399
0.765,0.5724734042553191,0.9502207337494292
0.775,0.5691489361702128,0.9507535393514994
0.785,0.5664893617021277,0.9508296544375096
0.795,0.5644946808510638,0.9510579996955396
0.805,0.5625,0.9513624600395798
0.815,0.5618351063829787,0.95159080529761
0.825,0.5585106382978723,0.9518952656416502
0.835,0.557845744680851,0.9518952656416502
0.845,0.5571808510638298,0.9521997259856904
0.855,0.555186170212766,0.9528086466737707
0.865,0.5538563829787234,0.9529608768457908
0.875,0.5531914893617021,0.9529608768457908
0.885,0.5518617021276596,0.9530369919318009
0.895,0.5485372340425532,0.9533414522758411
0.905,0.5465425531914894,0.9535697975338712
0.915,0.5458776595744681,0.9536459126198813
0.925,0.5452127659574468,0.9540264880499315
0.935,0.5445478723404256,0.9540264880499315
0.945,0.5425531914893617,0.9542548333079617
0.955,0.5425531914893617,0.9545592936520019
0.965,0.5405585106382979,0.9546354087380119
0.975,0.538563829787234,0.9548637539960421
0.985,0.5365691489361702,0.9548637539960421
0.995,0.5332446808510638,0.9550159841680621
1.005,0.5332446808510638,0.9553204445121023
1.0150000000000001,0.5332446808510638,0.9554726746841224
1.025,0.5325797872340425,0.9557771350281625
1.0350000000000001,0.5305851063829787,0.9559293652001827
1.045,0.5279255319148937,0.9562338255442229
1.0550000000000002,0.5272606382978723,0.956462170802253
1.065,0.5272606382978723,0.9565382858882631
1.0750000000000002,0.526595744680851,0.9565382858882631
1.085,0.5259308510638298,0.9566144009742731
1.0950000000000002,0.5246010638297872,0.9566144009742731
1.105,0.5219414893617021,0.9567666311462932
1.1150000000000002,0.5219414893617021,0.9568427462323033
1.125,0.5206117021276596,0.9569188613183133
1.1349999999999998,0.5206117021276596,0.9569949764043233
1.145,0.5199468085106383,0.9569949764043233
1.1549999999999998,0.5186170212765957,0.9569949764043233
1.165,0.5179521276595744,0.9573755518343736
1.1749999999999998,0.5172872340425532,0.9574516669203836
1.185,0.5159574468085106,0.9574516669203836
1.1949999999999998,0.5146276595744681,0.9574516669203836
1.205,0.5132978723404256,0.9577561272644238
1.2149999999999999,0.5132978723404256,0.9579083574364439
1.225,0.5132978723404256,0.957984472522454
1.2349999999999999,0.5126329787234043,0.957984472522454
1.245,0.5106382978723404,0.9583650479525042
1.255,0.5093085106382979,0.9584411630385142
1.2650000000000001,0.5079787234042553,0.9584411630385142
1.275,0.507313829787234,0.9585933932105343
1.2850000000000001,0.5059840425531915,0.9585933932105343
1.295,0.5033244680851063,0.9585933932105343
1.3050000000000002,0.5026595744680851,0.9586695082965444
1.315,0.5026595744680851,0.9589739686405846
1.3250000000000002,0.5013297872340425,0.9590500837265946
1.34,0.49933510638297873,0.9592023138986147
1.355,0.49867021276595747,0.9594306591566448
1.3650000000000002,0.49867021276595747,0.9595067742426548
1.375,0.49800531914893614,0.959735119500685
1.3849999999999998,0.4966755319148936,0.959811234586695
1.395,0.49601063829787234,0.9599634647587152
1.4049999999999998,0.4953457446808511,0.9599634647587152
1.415,0.4946808510638298,0.9599634647587152
1.4249999999999998,0.4940159574468085,0.9601156949307352
1.435,0.4933510638297872,0.9604201552747754
1.4449999999999998,0.4920212765957447,0.9606485005328056
1.455,0.49069148936170215,0.9608768457908358
1.4649999999999999,0.4900265957446808,0.9610290759628558
1.475,0.4886968085106383,0.9610290759628558
1.4849999999999999,0.488031914893617,0.9611051910488659
1.495,0.4867021276595745,0.9611051910488659
1.505,0.4853723404255319,0.961181306134876
1.5150000000000001,0.48470744680851063,0.961333536306896
1.525,0.48470744680851063,0.9615618815649262
1.5350000000000001,0.48470744680851063,0.9618663419089664
1.545,0.48404255319148937,0.9620185720809864
1.5550000000000002,0.4833776595744681,0.9620185720809864
1.565,0.48271276595744683,0.9620185720809864
1.5750000000000002,0.4820478723404255,0.9620946871669965
1.585,0.4820478723404255,0.9621708022530066
1.5950000000000002,0.480718085106383,0.9621708022530066
1.605,0.480718085106383,0.9622469173390166
1.6150000000000002,0.4800531914893617,0.9622469173390166
1.635,0.4773936170212766,0.9623230324250266
1.6549999999999998,0.4767287234042553,0.9623230324250266
1.665,0.4767287234042553,0.9625513776830568
1.6749999999999998,0.4753989361702128,0.9625513776830568
1.685,0.4747340425531915,0.9625513776830568
1.6949999999999998,0.4740691489361702,0.9625513776830568
1.705,0.4734042553191489,0.9625513776830568
1.7149999999999999,0.47273936170212766,0.9627036078550769
1.725,0.47273936170212766,0.9627797229410869
1.7349999999999999,0.4714095744680851,0.962855838027097
1.745,0.4714095744680851,0.9630841832851271
1.755,0.4714095744680851,0.9631602983711371
1.7650000000000001,0.47074468085106386,0.9631602983711371
1.78,0.47007978723404253,0.9632364134571472
1.795,0.46875,0.9633125285431573
1.8050000000000002,0.46742021276595747,0.9633125285431573
1.82,0.46742021276595747,0.9633886436291673
1.835,0.46675531914893614,0.9633886436291673
1.8450000000000002,0.4654255319148936,0.9634647587151773
1.855,0.4640957446808511,0.9634647587151773
1.87,0.4627659574468085,0.9636169888871975
1.8849999999999998,0.4621010638297872,0.9636931039732075
1.895,0.4621010638297872,0.9637692190592175
1.9049999999999998,0.46143617021276595,0.9638453341452276
1.915,0.4601063829787234,0.9639975643172477
1.9249999999999998,0.45944148936170215,0.9639975643172477
1.935,0.4587765957446808,0.9639975643172477
1.9449999999999998,0.4587765957446808,0.9640736794032577
1.955,0.45811170212765956,0.9641497944892677
1.9649999999999999,0.45811170212765956,0.9642259095752779
1.975,0.456781914893617,0.9643781397472979
1.9849999999999999,0.456781914893617,0.964530369919318
1.995,0.45611702127659576,0.964530369919318
2.005,0.45611702127659576,0.9647587151773481
2.0149999999999997,0.4554521276595745,0.9647587151773481
2.025,0.4554521276595745,0.9648348302633581
2.035,0.45478723404255317,0.9648348302633581
2.045,0.45478723404255317,0.9649109453493683
2.0549999999999997,0.45345744680851063,0.9650631755213883
2.065,0.45279255319148937,0.9650631755213883
2.075,0.45279255319148937,0.9652915207794185
2.085,0.45279255319148937,0.9653676358654285
2.0949999999999998,0.45279255319148937,0.9655959811234587
2.105,0.4507978723404255,0.9658243263814889
2.12,0.449468085106383,0.9660526716395189
2.135,0.4488031914893617,0.9662049018115391
2.145,0.44813829787234044,0.9662049018115391
2.1550000000000002,0.44813829787234044,0.9663571319835591
2.165,0.4474734042553192,0.9664332470695692
2.175,0.44680851063829785,0.9665093621555793
2.185,0.44680851063829785,0.9665854772415893
2.1950000000000003,0.4461436170212766,0.9666615923275993
2.205,0.4454787234042553,0.9667377074136094
2.215,0.4434840425531915,0.9668899375856295
2.225,0.4421542553191489,0.9670421677576496
2.2350000000000003,0.4408244680851064,0.9671182828436596
2.25,0.4401595744680851,0.9671182828436596
2.2649999999999997,0.4401595744680851,0.9671943979296697
2.275,0.43949468085106386,0.9673466281016898
2.29,0.43816489361702127,0.9673466281016898
2.3049999999999997,0.43683510638297873,0.9673466281016898
2.315,0.43617021276595747,0.9674227431876998
2.325,0.4341755319148936,0.9674227431876998
2.335,0.4328457446808511,0.9674227431876998
2.3449999999999998,0.4328457446808511,0.9675749733597199
2.355,0.4321808510638298,0.96772720353174
2.365,0.4315159574468085,0.96772720353174
2.38,0.4308510638297872,0.96772720353174
2.395,0.43018617021276595,0.96772720353174
2.4050000000000002,0.4288563829787234,0.96772720353174
2.415,0.4288563829787234,0.9678794337037601
2.425,0.4288563829787234,0.9679555487897701
2.4400000000000004,0.42819148936170215,0.9681838940478003
2.455,0.4275265957446808,0.9681838940478003
2.4699999999999998,0.4275265957446808,0.9682600091338103
2.4850000000000003,0.42686170212765956,0.9683361242198204
2.495,0.4261968085106383,0.9684122393058304
2.5149999999999997,0.425531914893617,0.9684883543918404
2.535,0.425531914893617,0.9686405845638606
2.545,0.42486702127659576,0.9687166996498706
2.5549999999999997,0.4242021276595745,0.9687166996498706
2.5700000000000003,0.4242021276595745,0.9688689298218907
2.585,0.42353723404255317,0.9688689298218907
2.5999999999999996,0.42353723404255317,0.9689450449079008
2.62,0.42220744680851063,0.9690972750799208
2.635,0.42220744680851063,0.9691733901659308
2.6500000000000004,0.4208776595744681,0.969325620337951
2.665,0.42021276595744683,0.9695539655959812
2.675,0.42021276595744683,0.9696300806819912
2.685,0.4195478723404255,0.9696300806819912
2.7,0.4195478723404255,0.9697061957680012
2.7199999999999998,0.418218085106383,0.9697061957680012
2.7350000000000003,0.4175531914893617,0.9697061957680012
2.745,0.41688829787234044,0.9697823108540112
2.755,0.41688829787234044,0.9698584259400214
2.7649999999999997,0.41555851063829785,0.9698584259400214
2.775,0.41555851063829785,0.9699345410260314
2.785,0.41555851063829785,0.9700106561120414
2.795,0.4148936170212766,0.9700106561120414
2.8049999999999997,0.4142287234042553,0.9700106561120414
2.815,0.4142287234042553,0.9700867711980514
2.825,0.4142287234042553,0.9701628862840616
2.835,0.41356382978723405,0.9701628862840616
2.8499999999999996,0.41356382978723405,0.9702390013700716
2.865,0.41356382978723405,0.9703912315420916
2.875,0.4128989361702128,0.9703912315420916
2.885,0.4115691489361702,0.9705434617141118
2.895,0.4115691489361702,0.9706195768001218
2.9050000000000002,0.4109042553191489,0.9706195768001218
2.92,0.4109042553191489,0.9706956918861318
2.935,0.4109042553191489,0.9707718069721418
2.95,0.41023936170212766,0.9707718069721418
2.965,0.4095744680851064,0.970847922058152
2.995,0.40824468085106386,0.970847922058152
3.035,0.40824468085106386,0.970924037144162
3.0549999999999997,0.40757978723404253,0.971000152230172
3.08,0.40691489361702127,0.971000152230172
3.1100000000000003,0.40625,0.971076267316182
3.125,0.40492021276595747,0.971076267316182
3.135,0.4035904255319149,0.971076267316182
3.145,0.4029255319148936,0.971076267316182
3.1550000000000002,0.4029255319148936,0.9711523824021921
3.165,0.4029255319148936,0.9712284974882022
3.1799999999999997,0.40226063829787234,0.9712284974882022
3.2,0.40226063829787234,0.9713046125742122
3.215,0.4009308510638298,0.9713046125742122
3.225,0.4002659574468085,0.9713046125742122
3.2350000000000003,0.4002659574468085,0.9713807276602222
3.245,0.3996010638297872,0.9713807276602222
3.255,0.3996010638297872,0.9714568427462323
3.2649999999999997,0.3982712765957447,0.9715329578322424
3.275,0.39694148936170215,0.9715329578322424
3.285,0.3962765957446808,0.9715329578322424
3.295,0.39561170212765956,0.9716090729182524
3.3099999999999996,0.394281914893617,0.9716090729182524
3.325,0.3929521276595745,0.9716851880042624
3.335,0.39228723404255317,0.9716851880042624
3.3499999999999996,0.3916223404255319,0.9716851880042624
3.365,0.39095744680851063,0.9717613030902725
3.38,0.39095744680851063,0.9718374181762826
3.395,0.39095744680851063,0.9719135332622926
3.4050000000000002,0.39095744680851063,0.9719896483483026
3.42,0.39029255319148937,0.9721418785203227
3.435,0.3896276595744681,0.9721418785203227
3.4450000000000003,0.38896276595744683,0.9721418785203227
3.465,0.3882978723404255,0.9721418785203227
3.495,0.38763297872340424,0.9721418785203227
3.5149999999999997,0.386968085106383,0.9721418785203227
3.525,0.3863031914893617,0.9721418785203227
3.535,0.3863031914893617,0.9722179936063328
3.545,0.3863031914893617,0.9722941086923428
3.5549999999999997,0.3863031914893617,0.9723702237783529
3.565,0.3849734042553192,0.9723702237783529
3.575,0.3836436170212766,0.9723702237783529
3.6100000000000003,0.3829787234042553,0.9723702237783529
3.6550000000000002,0.38231382978723405,0.9723702237783529
3.7,0.3816489361702128,0.9723702237783529
3.7350000000000003,0.3803191489361702,0.9724463388643629
3.745,0.3803191489361702,0.972522453950373
3.755,0.3796542553191489,0.972598569036383
3.7699999999999996,0.3796542553191489,0.9726746841223931
3.8,0.3796542553191489,0.9727507992084031
3.825,0.37898936170212766,0.9727507992084031
3.8449999999999998,0.3783244680851064,0.9728269142944131
3.865,0.3783244680851064,0.9729030293804232
3.875,0.3776595744680851,0.9729791444664333
3.8899999999999997,0.3776595744680851,0.9730552595524433
3.9050000000000002,0.37699468085106386,0.9730552595524433
3.915,0.37699468085106386,0.9731313746384533
3.9299999999999997,0.37632978723404253,0.9732074897244634
3.9450000000000003,0.37632978723404253,0.9732836048104735
3.96,0.37632978723404253,0.9733597198964835
3.975,0.37566489361702127,0.9733597198964835
3.99,0.375,0.9734358349824935
4.005,0.375,0.9735119500685036
4.025,0.375,0.9735880651545136
4.045,0.37433510638297873,0.9736641802405237
4.0649999999999995,0.37367021276595747,0.9736641802405237
4.09,0.37300531914893614,0.9737402953265337
4.105,0.3723404255319149,0.9738164104125437
4.115,0.3716755319148936,0.9738164104125437
4.13,0.37101063829787234,0.9738925254985538
4.15,0.3703457446808511,0.9738925254985538
4.165,0.3696808510638298,0.9738925254985538
4.175,0.3683510638297872,0.9738925254985538
4.199999999999999,0.36768617021276595,0.9738925254985538
4.23,0.36768617021276595,0.9739686405845639
4.25,0.36768617021276595,0.9740447556705739
4.265,0.36768617021276595,0.9741208707565839
4.275,0.36768617021276595,0.974196985842594
4.285,0.3670212765957447,0.974196985842594
4.3100000000000005,0.3663563829787234,0.974196985842594
4.34,0.3663563829787234,0.9742731009286041
4.355,0.3650265957446808,0.9743492160146141
4.365,0.3650265957446808,0.9744253311006241
4.375,0.36436170212765956,0.9745775612726443
4.41,0.3636968085106383,0.9745775612726443
4.45,0.36236702127659576,0.9745775612726443
4.465,0.36236702127659576,0.9747297914446643
4.484999999999999,0.3617021276595745,0.9748059065306743
4.525,0.36103723404255317,0.9748820216166845
4.555,0.3603723404255319,0.9749581367026945
4.574999999999999,0.35970744680851063,0.9749581367026945
4.595,0.35970744680851063,0.9750342517887045
4.619999999999999,0.35970744680851063,0.9751103668747145
4.645,0.35904255319148937,0.9751103668747145
4.66,0.35904255319148937,0.9751864819607247
4.68,0.35904255319148937,0.9752625970467347
4.705,0.3583776595744681,0.9753387121327447
4.73,0.35771276595744683,0.9753387121327447
4.76,0.35771276595744683,0.9754148272187547
4.785,0.35638297872340424,0.9754148272187547
4.8100000000000005,0.355718085106383,0.9754148272187547
4.835,0.3550531914893617,0.9754909423047649
4.85,0.3550531914893617,0.9755670573907749
4.865,0.35438829787234044,0.9755670573907749
4.875,0.3537234042553192,0.9755670573907749
4.885,0.3537234042553192,0.9756431724767849
4.895,0.3537234042553192,0.9757192875627949
4.905,0.35305851063829785,0.9757192875627949
4.92,0.3517287234042553,0.975795402648805
4.9350000000000005,0.35106382978723405,0.975795402648805
4.945,0.3503989361702128,0.975795402648805
4.970000000000001,0.3497340425531915,0.975795402648805
5.015000000000001,0.3490691489361702,0.975795402648805
5.045,0.3484042553191489,0.975795402648805
5.055,0.3484042553191489,0.9758715177348151
5.074999999999999,0.3484042553191489,0.9759476328208251
5.1,0.3484042553191489,0.9760237479068351
5.115,0.3484042553191489,0.9760998629928452
5.145,0.34773936170212766,0.9760998629928452
5.1899999999999995,0.3470744680851064,0.9760998629928452
5.215,0.3464095744680851,0.9760998629928452
5.225,0.34574468085106386,0.9760998629928452
5.235,0.34507978723404253,0.9760998629928452
5.25,0.34441489361702127,0.9761759780788553
5.265,0.34441489361702127,0.9762520931648653
5.285,0.34242021276595747,0.9763282082508753
5.305,0.34175531914893614,0.9764043233368853
5.3149999999999995,0.3410904255319149,0.9764043233368853
5.325,0.33976063829787234,0.9764043233368853
5.355,0.3390957446808511,0.9764043233368853
5.385,0.3384308510638298,0.9764043233368853
5.404999999999999,0.3384308510638298,0.9764804384228954
5.425,0.3384308510638298,0.9765565535089055
5.4399999999999995,0.3377659574468085,0.9766326685949155
5.465,0.3371010638297872,0.9766326685949155
5.495,0.33643617021276595,0.9767848987669356
5.515,0.3357712765957447,0.9767848987669356
5.529999999999999,0.33444148936170215,0.9767848987669356
5.55,0.33444148936170215,0.9768610138529457
5.585,0.3337765957446808,0.9769371289389557
5.615,0.33311170212765956,0.9769371289389557
5.635,0.33311170212765956,0.9770132440249657
5.675000000000001,0.3324468085106383,0.9770132440249657
5.71,0.3324468085106383,0.9770893591109758
5.744999999999999,0.331781914893617,0.9770893591109758
5.805,0.33111702127659576,0.9770893591109758
5.845,0.3304521276595745,0.9770893591109758
5.855,0.32978723404255317,0.9770893591109758
5.865,0.3291223404255319,0.9770893591109758
5.890000000000001,0.32845744680851063,0.9770893591109758
5.92,0.32845744680851063,0.9772415892829959
5.9399999999999995,0.32845744680851063,0.9773177043690059
5.955,0.3271276595744681,0.9773177043690059
5.965,0.32646276595744683,0.977393819455016
5.984999999999999,0.3257978723404255,0.977393819455016
6.01,0.324468085106383,0.977393819455016
6.045,0.324468085106383,0.977469934541026
6.075,0.3238031914893617,0.977469934541026
6.085,0.3238031914893617,0.9775460496270361
6.1,0.32313829787234044,0.9776221647130461
6.130000000000001,0.32313829787234044,0.9777743948850662
6.165,0.3224734042553192,0.9777743948850662
6.1899999999999995,0.3224734042553192,0.9778505099710763
6.21,0.32180851063829785,0.9778505099710763
6.234999999999999,0.32180851063829785,0.9779266250570863
6.265000000000001,0.3211436170212766,0.9780027401430964
6.305,0.3211436170212766,0.9780788552291064
6.335,0.3211436170212766,0.9782310854011265
6.35,0.3211436170212766,0.9783833155731466
6.375,0.3204787234042553,0.9783833155731466
6.395,0.31981382978723405,0.9783833155731466
6.41,0.3191489361702128,0.9783833155731466
6.43,0.3184840425531915,0.9784594306591566
6.445,0.3184840425531915,0.9785355457451667
6.455,0.3184840425531915,0.9786116608311768
6.465,0.3178191489361702,0.9786116608311768
6.484999999999999,0.3171542553191489,0.9786116608311768
6.505,0.3171542553191489,0.9786877759171868
6.525,0.31648936170212766,0.9786877759171868
6.555,0.3158244680851064,0.9787638910031968
6.575,0.3151595744680851,0.9788400060892068
6.59,0.3151595744680851,0.978992236261227
6.615,0.3151595744680851,0.979068351347237
6.640000000000001,0.3151595744680851,0.979144466433247
6.675000000000001,0.3151595744680851,0.9792205815192572
6.715,0.3151595744680851,0.9792966966052672
6.735,0.31449468085106386,0.9792966966052672
6.745,0.31316489361702127,0.9792966966052672
6.76,0.3125,0.9792966966052672
6.775,0.31183510638297873,0.9792966966052672
6.785,0.31050531914893614,0.9792966966052672
6.8100000000000005,0.31050531914893614,0.9793728116912772
6.835,0.31050531914893614,0.9794489267772872
6.85,0.31050531914893614,0.9795250418632973
6.875,0.3098404255319149,0.9795250418632973
6.895,0.3098404255319149,0.9796011569493074
6.925000000000001,0.3091755319148936,0.9796011569493074
6.970000000000001,0.30851063829787234,0.9796011569493074
7.025,0.30851063829787234,0.9796772720353174
7.074999999999999,0.3078457446808511,0.9797533871213274
7.12,0.3078457446808511,0.9798295022073374
7.18,0.3065159574468085,0.9799056172933476
7.215,0.3065159574468085,0.9799817323793576
